"","year","month","day","prcp","Precp","Runoff","IR.det"
"1",2007,10,"14",25,50.5,27.6,0.006
"2",2007,10,"14",25,50.5,27.8,0.007
"3",2007,10,"14",25,50.5,7.7,0.004
"4",2007,10,"14",25,50.5,29.2,0.006
"5",2007,10,"14",25,50.5,23.1,0.008
"6",2007,10,"14",25,50.5,4.3,0.003
"7",2007,10,"14",25,50.5,22.7,0.008
"8",2007,10,"14",25,50.5,22.9,0.008
"9",2007,10,"14",25,50.5,27.8,0.007
"10",2007,10,"14",25,50.5,27.8,0.007
"11",2007,10,"14",25,50.5,27.8,0.007
"12",2007,10,"14",25,50.5,27.6,0.006
"13",2007,10,"14",25,50.5,7.7,0.004
"14",2007,10,"14",25,50.5,27.6,0.006
"15",2007,10,"14",25,50.5,4.7,0.003
"16",2007,10,"14",25,50.5,29.2,0.006
"17",2007,10,"14",25,50.5,23.3,0.008
"18",2007,10,"14",25,50.5,27.8,0.006
"19",2007,10,"14",25,50.5,27.7,0.006
"20",2007,10,"14",25,50.5,27.7,0.006
"21",2007,10,"14",25,50.5,22.7,0.008
"22",2007,10,"14",25,50.5,22.9,0.008
"23",2007,10,"14",25,50.5,27.8,0.007
"24",2007,10,"14",25,50.5,4.6,0.003
"25",2007,10,"14",25,50.5,26.5,0.009
"26",2007,10,"14",25,50.5,26.6,0.009
"27",2007,10,"14",25,50.5,10.4,0.003
"28",2007,10,"14",25,50.5,27.6,0.006
"29",2007,10,"14",25,50.5,27.7,0.006
"30",2007,10,"14",25,50.5,7.6,0.004
"31",2007,10,"14",25,50.5,27.6,0.006
"32",2007,10,"14",25,50.5,27.7,0.006
"33",2007,10,"14",25,50.5,27.9,0.007
"34",2007,10,"14",25,50.5,26.5,0.009
"35",2007,10,"14",25,50.5,7.7,0.004
"36",2007,10,"14",25,50.5,27.7,0.006
"37",2007,10,"17",9,15.2,0,0
"38",2007,10,"17",9,15.2,0,0
"39",2007,10,"17",9,15.2,0,0
"40",2007,10,"17",9,15.2,0,0
"41",2007,10,"17",9,15.2,0,0
"42",2007,10,"17",9,15.2,0,0
"43",2007,10,"17",9,15.2,0,0
"44",2007,10,"2",16,29.5,6.1,0.008
"45",2007,10,"2",16,29.5,7.1,0.009
"46",2007,10,"2",16,29.5,6.9,0.009
"47",2007,10,"2",16,29.5,6.7,0.011
"48",2007,10,"2",16,29.5,6.5,0.011
"49",2007,10,"2",16,29.5,6.2,0.008
"50",2007,10,"2",16,29.5,6.3,0.011
"51",2007,10,"2",16,29.5,6.5,0.008
"52",2007,10,"2",16,29.5,6.2,0.011
"53",2007,10,"2",16,29.5,6.6,0.011
"54",2007,10,"2",16,29.5,7.1,0.009
"55",2007,10,"2",16,29.5,6.3,0.008
"56",2007,10,"2",16,29.5,3.3,0.004
"57",2007,10,"2",16,29.5,1.8,0.002
"58",2007,10,"2",16,29.5,6.9,0.009
"59",2007,10,"2",16,29.5,5.8,0.007
"60",2007,10,"2",16,29.5,4.7,0.006
"61",2007,10,"2",16,29.5,7.1,0.009
"62",2007,10,"2",16,29.5,6.9,0.009
"63",2007,10,"2",16,29.5,4.1,0.005
"64",2007,10,"2",16,29.5,6.6,0.009
"65",2007,10,"2",16,29.5,4.5,0.006
"66",2007,10,"2",16,29.5,4.5,0.006
"67",2007,10,"2",16,29.5,6.8,0.009
"68",2007,10,"2",16,29.5,4.3,0.005
"69",2007,10,"2",16,29.5,3.9,0.005
"70",2007,10,"2",16,29.5,6.5,0.008
"71",2007,10,"2",16,29.5,6.8,0.009
"72",2007,10,"2",16,29.5,4.3,0.007
"73",2007,10,"2",16,29.5,4.4,0.006
"74",2007,10,"2",16,29.5,6.3,0.008
"75",2007,10,"2",16,29.5,6.3,0.011
"76",2007,10,"2",16,29.5,5.5,0.007
"77",2007,10,"2",16,29.5,3.6,0.005
"78",2007,10,"2",16,29.5,4.3,0.006
"79",2007,10,"2",16,29.5,4.8,0.008
"80",2007,2,"20",0,0,6.1,0
"81",2007,2,"20",0,0,5.8,0
"82",2007,2,"20",0,0,10.8,0
"83",2007,2,"20",0,0,6.8,0
"84",2007,2,"20",0,0,10.3,0
"85",2007,2,"20",0,0,6.6,0
"86",2007,2,"20",0,0,5.9,0
"87",2007,2,"20",0,0,6,0
"88",2007,2,"20",0,0,10.4,0
"89",2007,2,"20",0,0,6,0
"90",2007,2,"20",0,0,6.1,0
"91",2007,2,"20",0,0,5.8,0
"92",2007,2,"20",0,0,5.8,0
"93",2007,2,"20",0,0,6.3,0
"94",2007,2,"20",0,0,6.7,0
"95",2007,2,"20",0,0,10.3,0
