"","day","month","year","prcp","Precp","Runoff","IR.det"
"1",10,3,2007,16.6,16.6,11.2,0
"2",11,10,2007,26.3,26.3,0.1,0
"3",12,10,2007,47.2,47.2,22.2,0.073
"4",12,3,2007,10.1,10.1,7.9,0
"5",14,3,2007,0,0,2.4,0
"6",17,7,2007,29.8,29.8,0.8,0.009
"7",18,10,2007,19,19,1.9,0.003
"8",2,5,2007,35.8,35.8,10,0.06
"9",20,7,2007,25.5,25.5,1.9,0.008
"10",21,9,2007,32.4,32.4,4.5,0.005
"11",25,10,2007,20.8,20.8,1.8,0.004
"12",28,8,2007,36.3,36.3,3.6,0.006
"13",30,5,2007,55.7,55.7,17.2,0.121
"14",4,8,2007,24.4,24.4,3.2,0.007
"15",7,3,2007,10.7,10.7,3.6,0
"16",8,3,2007,0,0,16.4,0
